"","condition"
"TCGA-JL-A3YW-01A","B"
"TCGA-GM-A2DD-01A","B"
"TCGA-AN-A0FW-01A","B"
"TCGA-D8-A1X5-01A","B"
"TCGA-D8-A1XY-01A","B"
"TCGA-AR-A256-01A","B"
"TCGA-E9-A1RF-01A","B"
"TCGA-A7-A13E-01A","B"
"TCGA-B6-A0RE-01A","B"
"TCGA-A8-A07F-01A","B"
"TCGA-AN-A0AJ-01A","B"
"TCGA-AQ-A0Y5-01A","B"
"TCGA-S3-A6ZF-01A","B"
"TCGA-AR-A24Q-01A","B"
"TCGA-A7-A13D-01A","B"
"TCGA-E9-A1RB-01A","B"
"TCGA-A7-A4SF-01A","B"
"TCGA-A8-A08R-01A","B"
"TCGA-E2-A1LG-01A","B"
"TCGA-A2-A04W-01A","B"
"TCGA-C8-A1HN-01A","B"
"TCGA-E9-A248-01A","B"
"TCGA-3C-AALI-01A","B"
"TCGA-A1-A0SK-01A","B"
"TCGA-A7-A6VV-01A","B"
"TCGA-3C-AAAU-01A","B"
"TCGA-AO-A12A-01A","B"
"TCGA-D8-A1Y3-01A","B"
"TCGA-AC-A2BM-01A","B"
"TCGA-BH-A0AY-01A","B"
"TCGA-AC-A23G-01A","B"
"TCGA-AN-A03Y-01A","B"
"TCGA-AR-A0U0-01A","B"
"TCGA-A2-A3XT-01A","B"
"TCGA-B6-A0IO-01A","B"
"TCGA-AN-A0XU-01A","B"
"TCGA-C8-A26Y-01A","B"
"TCGA-A7-A0CE-01A","B"
"TCGA-C8-A12O-01A","B"
"TCGA-A8-A09X-01A","B"
"TCGA-B6-A0I2-01A","B"
"TCGA-AN-A0FY-01A","B"
"TCGA-D8-A1XL-01A","B"
"TCGA-LL-A6FP-01A","B"
"TCGA-E2-A1IH-01A","B"
"TCGA-OL-A5S0-01A","B"
"TCGA-BH-A1EV-01A","B"
"TCGA-LL-A7T0-01A","B"
"TCGA-BH-A1EO-01A","B"
"TCGA-BH-A1F6-01A","B"
"TCGA-E2-A150-01A","B"
"TCGA-BH-A0BG-01A","B"
"TCGA-EW-A1J1-01A","B"
"TCGA-AO-A0J9-01A","B"
"TCGA-A8-A09A-01A","B"
